module,root_id,element,root_lemma,gloss_fil,example_fil,gloss_en_backgloss,example_en_backgloss,qa_status,reviewer_ok (Y/N),reviewer_notes
6,m6-fiebre,,fiebre,lagnat,Ipinapayo ko sa iyo na magpahinga ka kung mataas ang iyong lagnat.,fever,I advise you to rest if you have a high fever.,pending,,
6,m6-tos,,tos,ubo,Mahalaga na uminom ka ng maligamgam na tubig upang mapakalma ang ubo.,cough,It is important that you drink warm water to soothe the cough.,pending,,
6,m6-cuidar,,cuidar,mag-alaga / mag-ingat,Nais ng doktor na alagaan mo ang iyong katawan at matulog nang mas marami.,to take care of,The doctor wants you to take care of your body and sleep more.,pending,,
6,m6-evitar,,evitar,iwasan,Iminumungkahi ko na iwasan mo ang malalangis na pagkain hanggang sa gumaling ka.,to avoid,I suggest that you avoid greasy food until you feel better.,pending,,
6,m6-recomendar,,recomendar,magrekomenda,Irerekomenda ko sa iyo ang taunang check-up upang mas mapanatag ka.,to recommend,I would recommend an annual check-up so you can live more at ease.,pending,,
6,m6-aconsejar,,aconsejar,magpayo,Papayuhan kita na maglakad nang mas marami at gamitin nang mas kaunti ang kotse.,to advise,I would advise you to walk more and use the car less.,pending,,
6,m6-deber,,deber,dapat / tungkulin,Dapat kang matulog nang walong oras upang maramdaman mong may sigla.,should / ought to / duty,You should sleep eight hours to feel energetic.,pending,,
6,m6-mejorar,,mejorar,pabutihin / gumaling,"Sa mas maraming pahinga, malaki ang ipagbubuti ng iyong kalusugan sa ilang linggo.",to improve / to get better,"With more rest, your health would improve a lot within a few weeks.",pending,,
6,m6-gustar,,gustar,magustuhan,Gusto kong maramdaman ang pagiging malusog at puno ng sigla araw-araw.,to like / to be pleasing,I would like to feel healthy and full of energy every day.,pending,,
7,m7-dedicarse,,dedicar(se),mag-ukol ng sarili / ang trabaho ay,Ano ang trabaho mo? Nagtuturo ako sa Makati.,to do for a living / to devote oneself,What do you do for a living? I work in teaching in Makati.,pending,,
7,m7-profesion,,profesión,propesyon,Ang propesyon ko ay pagnu-nurse; isa akong nars sa ospital.,profession,My profession is nursing; I am a hospital nurse.,pending,,
7,m7-empleo,,empleo,trabaho / empleo,Dalawang buwan na akong naghahanap ng matatag na trabaho sa Cavite.,job / employment,I have been looking for a stable job in Cavite for two months.,pending,,
7,m7-ingeniero,,ingeniero,inhinyero,Siya ay inhinyero at gumagawa ng mga plano para sa malalaking gusali.,engineer,He is an engineer and makes plans for large buildings.,pending,,
7,m7-trabajador,,trabajador,manggagawa / masipag,Ang mga manggagawang Pilipino ay napakasipag at dedikado.,worker / hard-working,Filipino workers are very hard-working and dedicated.,pending,,
7,m7-habilidad,,habilidad,kasanayan / kakayahan,Ang pinakamalaking kasanayan ko ay ang pakikipag-usap sa mahihirap na kliyente.,skill / ability,My greatest skill is communicating with difficult clients.,pending,,
7,m7-responsable,,responsable,responsable / may pananagutan,Ang aming amo ay napaka-responsable at mapaghingi sa koponan.,responsible,Our boss is very responsible and demanding with the team.,pending,,
7,m7-capaz,,capaz,may kakayahan / kayang gawin,Siya ay isang empleyadong may kakayahan at laging natatapos ang gawain sa tamang oras.,capable / able,She is a capable employee and always completes her tasks on time.,pending,,
7,m7-puntual,,puntual,maagap / nasa oras,Maagap ang kasamahan mo; hindi siya kailanman nahuhuli sa mga pulong niya.,punctual,Your colleague is punctual; he never arrives late to his meetings.,pending,,
7,m7-organizado,,organizado,organisado / maayos,Napaka-organisado ng kasamahan ko at inaayos niya ang lahat ng kanyang dokumento.,organized,My colleague is very organized and keeps all her documents in order.,pending,,
7,m7-entrevista,,entrevista,panayam / interbyu,Kahapon ay nagkaroon ako ng panayam at maraming itinanong sa akin ang manedyer.,interview,Yesterday I had an interview and the manager asked me many questions.,pending,,
7,m7-currículum,,currículum,kurikulum vitae / résumé,Inayos ko ang aking résumé bago ipadala sa kumpanya sa Zamboanga.,CV / résumé,I updated my CV before sending it to the company in Zamboanga.,pending,,
7,m7-contratar,,contratar,kumuha ng empleyado / mag-empleyo,Kinuha ako ng kumpanya dahil marunong akong magsalita ng Espanyol at Ingles.,to hire,The company hired me because I spoke Spanish and English.,pending,,
7,m7-solicitar,,solicitar,mag-apply / humiling,Noong nakaraang buwan ay nag-apply ako sa posisyon at kinumpleto ang buong aplikasyon online.,to apply for / to request,Last month I applied for the position and filled out the entire application online.,pending,,
7,m7-experiencia,,experiencia,karanasan,May limang taon na akong karanasan nang ako ay itinaas sa puwesto bilang superbisor.,experience,I had five years of experience when they promoted me to supervisor.,pending,,
7,m7-jefe,,jefe,amo / hepe,Sana ay mas patas ang bagong amo sa lahat ng empleyado.,boss / manager,I hope the new boss is fairer with all the staff.,pending,,
7,m7-equipo,,equipo,koponan / pangkat,Gusto ko ng koponan na nagtutulungan at malayang nagbabahagi ng kanilang mga ideya.,team,I want a team that collaborates and shares its ideas freely.,pending,,
7,m7-ambiente,,ambiente,kapaligiran / atmospera,Umaasa akong magkaroon ng tahimik na kapaligiran sa trabaho sa bagong opisina.,environment / atmosphere,I hope there is a calm work atmosphere in the new office.,pending,,
7,m7-sueldo,,sueldo,sahod / suweldo,Tatanggapin ko ang puwesto basta't sapat ang sahod para sa aking pamilya.,salary / wage,I would accept the position as long as the salary is enough for my family.,pending,,
7,m7-ascender,,ascender,ma-promote / umakyat sa puwesto,Nagdududa ako na ako ay ma-promote maliban kung matapos ko ang proyektong ito sa tamang oras.,to be promoted / to rise,I doubt they will promote me unless I finish this project on time.,pending,,
7,m7-oficina,,oficina,opisina,"Ang aking mesa ay nasa tabi ng bintana, katabi ng silid-pulungan.",office,"My desk is next to the window, beside the meeting room.",pending,,
7,m7-reunión,,reunión,pulong / miting,"Ang pulong kasama ang kliyente ay alas-tres, sa silid sa ikatlong palapag.",meeting,"The meeting with the client is at three, in the room on the third floor.",pending,,
7,m7-colega,,colega,kasamahan sa trabaho,Kinausap ko ang aking kasamahan tungkol sa ulat noong tanghalian.,colleague,I talked with my colleague about the report during lunch.,pending,,
7,m7-informe,,informe,ulat / report,"Inilagay ko ang ulat sa ibabaw ng mesa, sa ilalim ng iba pang mga dokumento.",report,"I put the report on the table, under the other documents.",pending,,
7,m7-correo,,correo,koreo / email,Ipinadala ko ang email sa aking amo at sa lahat ng nasa departamento ng benta.,email / mail,I sent the email to my boss and to everyone in the sales department.,pending,,
7,m7-empezar,,empezar,magsimula,Nagsimula akong magtrabaho sa kumpanyang iyon noong nag-aaral pa ako sa unibersidad.,to start / to begin,I started working at that company when I was still studying at the university.,pending,,
7,m7-renunciar,,renunciar,mag-resign / magbitiw sa trabaho,Nag-resign ako sa dati kong trabaho dahil kakaunti ang kita ko at sobra ang trabaho.,to resign / to quit,I resigned from my old job because I earned little and worked too much.,pending,,
7,m7-aprender,,aprender,matuto / mag-aral,Marami na akong natutunan mula nang sumali ako sa koponang ito ng benta.,to learn,I have learned a lot since I joined this sales team.,pending,,
7,m7-lograr,,lograr,makamit / magtagumpay,"Ngayong taon ay nakamit ko na ang lahat ng aking propesyonal na mithiin, kahit na hindi ito madali.",to achieve / to manage to,"This year I have achieved all my professional goals, although it was not easy.",pending,,
7,m7-jubilarse,,jubilar(se),magretiro,"Nagretiro ang aking lolo sa edad na animnapu, matapos magtrabaho habambuhay.",to retire,"My grandfather retired at sixty, after working all his life.",pending,,
7,m7-médico,,médico,doktor / medikal,Ang aking tiya ay doktor at dalawampung taon nang gumagamot ng mga pasyente sa Maynila.,doctor / medical,My aunt is a doctor and has treated patients in Manila for twenty years.,pending,,
7,m7-maestro,,maestro,guro / maestro,"Noong bata pa ako ay gusto kong maging guro, at ngayon ginagawa ko na ang lagi kong pinangarap.",teacher / master,"As a young man I wanted to be a teacher, and today I do what I always dreamed of.",pending,,
7,m7-abogado,,abogado,abogado,Ang abogado ay napakagaling at nanalo siya sa napakahihirap na kaso ngayong taon.,lawyer,The lawyer is very skilled and has won very difficult cases this year.,pending,,
7,m7-comerciante,,comerciante,mangangalakal / negosyante,Ang kanyang ama ay mangangalakal at nagbebenta ng tela sa pamilihan ng Cebu.,merchant / trader,His father was a merchant and sold fabrics in the Cebu market.,pending,,
7,m7-fundar,,fundar,magtatag / magtayo (ng kumpanya),"Sampung taon na ang nakalilipas nang itatag niya ang sariling kumpanya, at simula noon ay lumago ito nang malaki.",to found / to establish,"Ten years ago he founded his own company, and since then it has grown a lot.",pending,,
8,m8-festividad,,festividad,pagdiriwang / pista,"Ngayong taon, mas maraming pista ang dinaluhan ko kaysa kailanman sa buhay ko.",festivity / public celebration,This year I have attended more festivities than ever in my life.,pending,,
8,m8-celebrar,,celebrar,magdiwang,"Noong nakaraang taon, ipinagdiwang namin ang pista ng bayan nang may napakalaking prusisyon.",to celebrate,Last year we celebrated the town fiesta with a huge procession.,pending,,
8,m8-procesion,,procesión,prusisyon,Ang prusisyon ng Mahal na Araw ang pinaka-solemne sa lahat ng ginagawa sa loob ng taon.,procession,The Holy Week procession is the most solemn of all those held in the year.,pending,,
8,m8-feria,,feria,perya / pista,Ang perya sa Cebu ay mas matao kaysa sa perya ng aming barangay.,fair / festival,The Cebu fair is much more crowded than the one in our neighborhood.,pending,,
8,m8-fuegos-artificiales,,fuegos artificiales,paputok / fireworks,Hindi pa ako nakakita ng paputok na kasingganda ng nakita ko kagabi.,fireworks,I had never seen fireworks as spectacular as last night's.,pending,,
8,m8-tradicion,,tradición,tradisyon / kaugalian,Ang tradisyon ng Misa de Gallo ay isa sa pinakaminamahal sa Pilipinas.,tradition,The Misa de Gallo tradition is one of the most beloved in the Philippines.,pending,,
8,m8-fiesta,,fiesta,pista / handaan,Ang pista ngayong taon ay kasingsigla ng pista noong nakaraang taon.,fiesta / party,This year's fiesta has been as lively as last year's.,pending,,
8,m8-carroza,,carroza,karosa,Ang pinakakahanga-hangang karosa sa parada ay pinalamutian nila ng libu-libong bulaklak.,float (parade) / carriage,They decorated the most impressive float of the parade with thousands of flowers.,pending,,
8,m8-disfraz,,disfraz,kostyum / disguise,Ang kostyum niya ang pinaka-orihinal sa lahat ng nakita namin sa pagdiriwang.,costume / disguise,His costume was the most original of all those we saw at the celebration.,pending,,
8,m8-conmemorar,,conmemorar,gunitain / alalahanin,"Tuwing ika-30 ng Disyembre, ginugunita namin ang kamatayan ni José Rizal.",to commemorate,Every December 30th we have commemorated the death of José Rizal.,pending,,
8,m8-arte,,arte,sining,"Para sa akin, kapani-paniwala na ang sining ng Pilipinas ay napakaliit na kilala sa labas ng bansa.",art,I find it incredible that Filipino art is so little known outside the country.,pending,,
8,m8-pintura,,pintura,pintura / pagpipinta,"Sa palagay ko ay hindi gawa ni Juan Luna ang pinturang iyon, kahit na halos kahawig nito.",painting,"I don't think that painting is by Juan Luna, although it looks a lot like his.",pending,,
8,m8-escultura,,escultura,eskultura,Nakakalungkot na ang eskultura sa parke ay napakasama ng pagkakaalaga.,sculpture,It's a shame that the sculpture in the park is so poorly preserved.,pending,,
8,m8-museo,,museo,museo,Inirerekomenda kong bisitahin mo ang pambansang museo bago magsara ang eksibisyon.,museum,I recommend that you visit the national museum before the exhibition closes.,pending,,
8,m8-obra,,obra,obra / akda,Nag-aalinlangan ako na may obrang mas tanyag kaysa sa 'Spoliarium' sa ating kasaysayan.,work (of art) / piece,I doubt there is a more famous work than the 'Spoliarium' in our history.,pending,,
8,m8-literatura,,literatura,panitikan / literatura,"Nag-aral si José Rizal sa Europa; doon, habang nakatira siya malayo sa kanyang bayan, lumago ang pag-ibig niya sa panitikan.",literature,"José Rizal studied in Europe; there, while he lived far from his homeland, he developed his love of literature.",pending,,
8,m8-escritor,,escritor,manunulat,"Si Rizal ay hindi lamang isang manunulat: bukod sa pagiging nobelista, siya ay doktor, makata at makabayan.",writer,"Rizal was not only a writer: besides being a novelist, he was a doctor, a poet and a patriot.",pending,,
8,m8-novela,,novela,nobela,"Una niyang isinulat ang 'Noli Me Tangere' at, pagkatapos, inilathala ang kanyang ikalawang nobela, ang 'El Filibusterismo'.",novel,"First he wrote 'Noli Me Tangere' and, afterwards, he published his second novel, 'El Filibusterismo'.",pending,,
8,m8-poema,,poema,tula,"Gabi bago siya mamatay, sumulat si Rizal ng isang tula na pinamagatang 'Mi último adiós'.",poem,"The night before he died, Rizal wrote a poem titled 'Mi último adiós'.",pending,,
8,m8-personaje,,personaje,tauhan / karakter,"Kahit na ang tauhang si Crisóstomo Ibarra ay kathang-isip, gayunpaman ay sinasalamin nito ang sariling buhay ni Rizal.",character (in a story),"Although the character of Crisóstomo Ibarra is fictional, it nevertheless reflects Rizal's own life.",pending,,
8,m8-gastronomia,,gastronomía,gastronomiya / lutuin,Ang lutuing Pilipino ay masarap na iba-iba at malalim na halo-halo ang impluwensiya.,gastronomy / cuisine,Filipino gastronomy is deliciously varied and deeply mestizo.,pending,,
8,m8-sabor,,sabor,lasa,Ang adobo ay may matamis-maasim na lasa na pinagsasama ang maalat at maasim nang nakakagulat na bagay.,flavor / taste,Adobo has a sweet-and-sour flavor that combines the salty and the sour surprisingly well.,pending,,
8,m8-platillo,,platillo,putahe / ulam,Ang lechón ay isang putahe na malutong sa labas at makatas sa loob.,dish (culinary),Lechón is a dish that is crunchy on the outside and juicy on the inside.,pending,,
8,m8-receta,,receta,resipe,Ang lola ko ay maingat na gumagawa ng sinigang sunod sa napakalumang resipe.,recipe,My grandmother prepares sinigang by carefully following a very old recipe.,pending,,
8,m8-dulce,,dulce,matamis / kendi,Ang bibingka ay banayad na matamis at karaniwang inihahain nang mainit.,sweet / candy,Bibingka is mildly sweet and is traditionally served hot.,pending,,
8,m8-costumbre,,costumbre,kaugalian / kostumbre,"Bilang kaugalian, ang mga nakababata ang unang bumabati sa mga nakatatanda nang may paggalang.",custom / habit,"By custom, the youngest greet their elders first with respect.",pending,,
8,m8-respeto,,respeto,paggalang / respeto,"Bilang paggalang, hinihiling ko po sa inyo na maupo, Ginoong Manuel, habang inihahain ko ang tsaa.",respect,"Out of respect, I ask you to sit down, Don Manuel, while I serve you the tea.",pending,,
8,m8-cortesia,,cortesía,kagandahang-loob / kortesiya,"Bilang kagandahang-loob, mainam na kausapin ang isang hindi kakilala gamit ang magalang na 'usted'.",courtesy,"Out of courtesy, it is advisable to address a stranger using the formal 'usted'.",pending,,
8,m8-saludo,,saludo,pagbati,"Tanggapin po ninyo ang aking pinakamalugod na pagbati, Ginang Direktora, at patawarin ang abala.",greeting,"Please accept my most cordial greeting, Madam Director, and excuse the inconvenience.",pending,,
8,m8-anfitrion,,anfitrión,punong-abala / host,"Bilang mabuting punong-abala, hiniling po ni Ginoong Cruz na magparamdam kaming para nasa sariling tahanan.",host,"As a good host, Mr. Cruz asked us to feel at home.",pending,,
8,m8-folclore,,folclore,alamat-bayan / folklore,Ang folklore ng Pilipinas ngayon ay nagpapanatili ng mga alamat na ikinukuwento ng mga lolo't lola noong mga siglong nakalipas.,folklore,Filipino folklore today preserves legends that grandparents used to tell centuries ago.,pending,,
8,m8-leyenda,,leyenda,alamat,"Ayon sa alamat, ang bulkang Mayon ay nagmula sa isang imposibleng pag-ibig; hanggang ngayon ay marami pa ring naniniwala rito.",legend,"According to the legend, the Mayon volcano was born of an impossible love; even today many people believe it.",pending,,
8,m8-mito,,mito,mito / pabula,"Noong una, ipinapaliwanag ng mga mito ang kalikasan; ngayon, nag-aalok ng ibang sagot ang agham.",myth,"In the past, myths explained nature; now science offers other answers.",pending,,
8,m8-cuento,,cuento,kuwento,"Noong bata ako, ikinukuwento sa akin ang mga kuwento ng mga duwende; ngayon, ako naman ang nagkukuwento ng mga ito sa aking mga anak.",tale / story,As a child they used to tell me tales of goblins; today I tell them to my children.,pending,,
8,m8-tradicion-oral,,tradición oral,tradisyong pasalita,"Ang tradisyong pasalita noon ang naghahatid ng kasaysayan ng bayan, at hanggang ngayon ay pinananatili nitong buhay ang kanilang alaala.",oral tradition,"Oral tradition used to transmit the history of the people, and even today it keeps their memory alive.",pending,,
9,m9-noticia,,noticia,balita,"Dati ay binabasa ko ang balita sa pahayagan, ngunit ngayon ay natatanggap ko ito sa telepono.",news / piece of news,"I used to read the news in the newspaper, but now I get it on my phone.",pending,,
9,m9-periodista,,periodista,mamamahayag / peryodista,"Noong bata pa siya, si José Rizal ay sumusulat bilang mamamahayag; ngayon maraming kabataan ang nag-uulat mula sa kanilang mga network.",journalist,"When he was young, José Rizal wrote as a journalist; today many young people report from their networks.",pending,,
9,m9-titular,,titular,pamagat ng balita,"Kahapon ang pamagat ng balita ay tungkol sa halalan, ngunit ngayon iba na ang inaanunsyo ng lahat ng pahayagan.",headline,"Yesterday the headline talked about the elections, but today every paper announces something else.",pending,,
9,m9-emisora,,emisora,istasyon ng radyo / brodkast,"Dati ay musika lamang ang ibinobrodkast ng istasyong iyon, ngunit ngayon ay nagpapalabas din ito ng mga programang pangkasalukuyan.",broadcasting station,"That station used to broadcast only music, but now it also airs current-affairs programs.",pending,,
9,m9-prensa,,prensa,pamamahayag / prensa,"Dati ang prensa ay nakalimbag lamang, samantalang ngayon karamihan ng tao ay binabasa ito sa online.",the press,"The press used to be only print, whereas today most people read it online.",pending,,
9,m9-publicar,,publicar,mag-post / maglathala,Ang larawan ay inilathala ng influencer at libu-libong gumagamit ang nagbahagi nito.,to post / to publish,The photo was posted by the influencer and thousands of users shared it.,pending,,
9,m9-seguidor,,seguidor,tagasunod / follower,Isang mensahe ang ipinadala sa kanyang mga tagasunod at lahat sila ay nagpasalamat dito.,follower,A message was sent to her followers and they all thanked her for it.,pending,,
9,m9-compartir,,compartir,magbahagi / i-share,Ang bidyo ay ibinahagi ng libu-libong account sa loob lamang ng ilang oras.,to share,The video was shared by thousands of accounts within hours.,pending,,
9,m9-comentario,,comentario,komento / puna,Nag-iwan ako ng komento sa may-akda at agad niya akong sinagot.,comment,I left a comment for the author and he replied to me right away.,pending,,
9,m9-perfil,,perfil,profile,Ang kanyang profile ay pinatunayan ng platform matapos ang maraming kahilingan.,profile,His profile was verified by the platform after many requests.,pending,,
9,m9-dispositivo,,dispositivo,kagamitan / device,Ang device na ito ay hindi kapani-paniwalang mabilis at nakakagulat na magaan.,device,This device is incredibly fast and surprisingly light.,pending,,
9,m9-pantalla,,pantalla,screen / tela,Ang screen ay napakalinaw at ang mga kulay ay talagang makulay tingnan.,screen / display,The screen is very sharp and the colors look truly vivid.,pending,,
9,m9-programa,,programa,programa / app,Ito ay isang madaling gamitin na programa na gumagana nang maayos kahit sa lumang kagamitan.,program / app,It is an intuitive program that works perfectly even on old machines.,pending,,
9,m9-inteligente,,inteligente,matalino / smart,Ang smart watch ay sumusukat ng pulso sa nakakagulat na tumpak na paraan.,smart / intelligent,The smart watch measures your pulse in a surprisingly precise way.,pending,,
9,m9-batería,,batería,baterya,Ang baterya ay matagal tumagal at hindi kapani-paniwalang mabilis mag-charge.,battery,The battery lasts a long time and charges incredibly fast.,pending,,
9,m9-influir,,influir,makaimpluwensya,Sinasabi na ang midya ay lubhang nakaiimpluwensya sa opinyon ng mga kabataan.,to influence,It is said that the media greatly influence young people's opinions.,pending,,
9,m9-difundir,,difundir,magpakalat / magpalaganap,Maraming tsismis ang ipinakakalat sa internet nang walang sinumang nagpapatunay sa mga ito.,to spread / to broadcast,Many rumors are spread on the internet without anyone verifying them.,pending,,
9,m9-manipular,,manipular,manipulahin,Minsan ang impormasyon ay minamanipula upang baguhin ang iniisip ng mga tao.,to manipulate,Sometimes information is manipulated to change what people think.,pending,,
9,m9-bulo,,bulo,pekeng balita,Maraming pekeng balita ang ibinabahagi sa panahon ng mga kampanya sa halalan.,hoax / fake news,Many hoaxes are shared during election campaigns.,pending,,
9,m9-audiencia,,audiencia,madla / tagapakinig,"Naghahanap ng mas batang madla, kaya naman lumilikha ng maiikling nilalaman.",audience,"A younger audience is being sought, which is why short content is created.",pending,,
9,m9-anuncio,,anuncio,anunsyo / patalastas,Inirerekomenda kong iwasan mo ang mga mapanlinlang na anunsyo na nangangakong madaling yumaman.,advertisement,I recommend that you avoid misleading ads that promise easy wealth.,pending,,
9,m9-publicidad,,publicidad,publisidad / pagrereklamo,Mahalagang ang publisidad ay maging tapat upang magtiwala ang kliyente sa tatak.,advertising / publicity,It is important that advertising be honest so that the customer trusts the brand.,pending,,
9,m9-marca,,marca,tatak / brand,Pinapayuhan kitang pumili ng tatak na nag-aalaga nang mabuti sa iyong personal na datos.,brand,I advise you to choose a brand that takes good care of your personal data.,pending,,
9,m9-persuadir,,persuadir,manghikayat / mangumbinsi,Inirerekomenda kong huwag kang magpahikayat sa mga mensaheng nagdudulot ng takot.,to persuade,I recommend that you not let yourself be persuaded by messages that provoke fear.,pending,,
9,m9-consumidor,,consumidor,mamimili / konsyumer,Iminumungkahi kong ihambing ng mamimili ang mga presyo bago siya magpasyang bumili.,consumer,I suggest that the consumer compare prices before deciding to buy.,pending,,
9,m9-conectar,,conectar,kumonekta,Kumokonekta ako sa internet mula sa bahay at iniimbak ko ang aking mga file sa cloud.,to connect,I connect to the internet from home and save my files in the cloud.,pending,,
9,m9-red,,red,network / lambat,Nasa social network ako at nasa group chat din ng trabaho.,network,I'm on the social network and also in the work chat group.,pending,,
9,m9-descargar,,descargar,mag-download,Nagda-download ako ng app mula sa store at ini-install ko ito sa telepono.,to download,I download the app from the store and install it on the phone.,pending,,
9,m9-correo,,correo,email / koreo,Susulatan kita sa pamamagitan ng email at iiwan ko ang dokumento sa shared folder.,email / mail,I'll write to you by email and leave the document in the shared folder.,pending,,
9,m9-contraseña,,contraseña,password / hudyat,Itago ang password sa ligtas na lugar at huwag itong ilagay sa mga nakikitang tala.,password,Keep the password in a safe place and don't put it on visible notes.,pending,,
9,m9-transmitir,,transmitir,magpalabas / mag-stream,"Dati ang mga laban ay ipinapalabas sa telebisyon, ngunit ngayon ay sinasapamamahayag ito nang live sa internet.",to broadcast / to stream,"Matches used to be broadcast on television, but now they stream them live on the internet.",pending,,
9,m9-actualizar,,actualizar,mag-update / magpabago,"Dati ay minsan sa isang taon ko ina-update ang sistema, ngunit ngayon ay ina-update ko ito kada linggo.",to update,"I used to update the system once a year, but now I update it every week.",pending,,
9,m9-buscador,,buscador,search engine,"Noong bata ako ay sumasangguni ako sa mga ensiklopedya, samantalang ngayon ay gumagamit ako ng search engine para sa lahat.",search engine,"As a child I consulted encyclopedias, whereas today I use a search engine for everything.",pending,,
9,m9-grabar,,grabar,mag-record / itala,"Dati ay nire-record ko ang musika sa mga cassette, ngunit ngayon ay nire-record ko ang mga bidyo gamit ang telepono.",to record,"I used to record music on cassettes, but now I record videos with my phone.",pending,,
9,m9-aplicación,,aplicación,aplikasyon / app,"Dati ay nagbabayad ako ng mga bayarin sa bangko, ngunit ngayon ay ginagawa ko ang lahat gamit ang isang aplikasyon.",application / app,"I used to pay the bills at the bank, but now I do everything with an app.",pending,,
10,m10-viajar,,viajar,maglakbay,"Sa susunod na tag-init, maglalakbay ako sa Espanya kasama ang aking pamilya.",to travel,Next summer I will travel to Spain with my family.,pending,,
10,m10-planear,,planear,magplano,Magpaplano kami ng itinerary sa sandaling makabili kami ng mga tiket.,to plan,We will plan the itinerary as soon as we buy the tickets.,pending,,
10,m10-itinerario,,itinerario,itinerary / talaorasan ng biyahe,"Pagsapit ng bukas, matatapos ko na ang kumpletong itinerary ng biyahe.",itinerary,By tomorrow I will have finished the complete travel itinerary.,pending,,
10,m10-presupuesto,,presupuesto,badyet,Kakalkulahin ko ang badyet bago mag-book ng mga flight.,budget,I will calculate the budget before booking the flights.,pending,,
10,m10-destino,,destino,destinasyon / patutunguhan,Ang susunod naming patutunguhan ay ang isla ng Palawan.,destination,Our next destination will be the island of Palawan.,pending,,
10,m10-reservar,,reservar,magreserba,Magrereserba ako ng mga tiket sa eroplano mismong gabing ito.,to book / to reserve,I will book the plane tickets this very night.,pending,,
10,m10-billete,,billete,tiket,Magkakahalaga ng mas mahal ang round-trip na tiket sa peak season.,ticket (travel),The round-trip ticket will cost more during high season.,pending,,
10,m10-vuelo,,vuelo,flight / lipad,Aalis ang flight papuntang Maynila nang alas-sais ng umaga.,flight,The flight to Manila will depart at six in the morning.,pending,,
10,m10-equipaje,,equipaje,bagahe,Titimbangin ko ang bagahe upang hindi magbayad ng dagdag-singil sa paliparan.,luggage / baggage,I will weigh the luggage so as not to pay a surcharge at the airport.,pending,,
10,m10-temporada,,temporada,panahon / season,Maglalakbay kami sa off-season dahil mas mura ang lahat.,season (period),We will travel in low season because everything will be cheaper.,pending,,
10,m10-alojamiento,,alojamiento,matutuluyan / tuluyan,"Ang aming matutuluyan ay malapit sa dalampasigan, sa harap ng baybaying daan.",accommodation / lodging,"Our accommodation is near the beach, opposite the seafront promenade.",pending,,
10,m10-hotel,,hotel,hotel,Ang hotel ay matatagpuan sa pagitan ng katedral at ng palengke.,hotel,The hotel is located between the cathedral and the market.,pending,,
10,m10-habitacion,,habitación,kuwarto / silid,"Ang aking kuwarto ay nasa ikatlong palapag, sa dulo ng pasilyo.",room,"My room is on the third floor, at the end of the hallway.",pending,,
10,m10-recepcion,,recepción,reception / harapang tanggapan,"Iwan mo ang mga maleta sa tabi ng reception, sa ilalim ng hagdan.",reception / front desk,"Leave the suitcases next to the reception, under the staircase.",pending,,
10,m10-llave,,llave,susi,"Ang susi ng kuwarto ay nasa ibabaw ng mesa, sa loob ng sobre.",key,"The room key is on the table, inside the envelope.",pending,,
10,m10-excursion,,excursión,ekskursyon / lakbay-aral,Inaayos ng gabay ang ekskursyon habang nagpapahinga ang mga turista.,excursion / day trip,The guide organizes the excursion while the tourists rest.,pending,,
10,m10-visitar,,visitar,bumisita / dalawin,Dinadalaw namin ang museo sa umaga at pagkatapos ay naglalakad sa makasaysayang bahagi ng lungsod.,to visit (something),We visit the museum in the morning and then we walk through the old town.,pending,,
10,m10-nadar,,nadar,lumangoy,Lumalangoy ang mga bata sa dagat habang kumukuha ng litrato ang kanilang mga magulang.,to swim,The children swim in the sea while their parents take photos.,pending,,
10,m10-recorrer,,recorrer,libutin / pasyalan,Nililibot namin ang buong lumang lungsod at umuupo kami upang magpahinga sa plasa.,to tour / to cover (a route),We tour the entire old city and sit down to rest in the square.,pending,,
10,m10-fotografiar,,fotografiar,kumuha ng litrato,Kinukunan niya ng litrato ang tanawin at ina-upload naman ng lalaki ang mga larawan sa internet.,to photograph,She photographs the landscape and he uploads the images to the internet.,pending,,
10,m10-probar,,probar,tikman / subukan,Pakitikman po ninyo ang mga tradisyunal na putahe ng lugar; hindi kayo magsisisi.,to try / to taste,Please try the typical local dishes; you won't regret it.,pending,,
10,m10-disfrutar,,disfrutar,tamasahin / mag-enjoy,"Tamasahin ninyo ang pista ng bayan, ngunit igalang ninyo ang mga lokal na kaugalian.",to enjoy,"Enjoy the town fiesta, but respect the local customs.",pending,,
10,m10-costumbre,,costumbre,kaugalian / kustombre,Alamin po ninyo ang mga kaugalian ng bansa bago maglakbay; iminumungkahi ko ito.,custom / habit,Get to know the customs of the country before traveling; I recommend it.,pending,,
10,m10-saborear,,saborear,lasapin / namnamin,Lasapin mo nang dahan-dahan ang bawat putahe at pasalamatan mo ang tagapagluto.,to savor / to relish,Savor each dish calmly and thank the cook.,pending,,
10,m10-respetar,,respetar,igalang / respetuhin,"Igalang po ninyo ang mga banal na lugar at magbihis nang naaayon, pakiusap.",to respect,Please respect the sacred places and dress modestly.,pending,,
10,m10-emergencia,,emergencia,emerhensiya,"Sakaling magkaroon ng emerhensiya, kailangan mong tumawag agad sa embahada.",emergency,"In case of emergency, you must call the embassy immediately.",pending,,
10,m10-necesitar,,necesitar,mangailangan,"Kung mawala ang iyong pasaporte, kailangan mong i-report ito sa istasyon ng pulis.",to need,"If you lose your passport, you need to report it at the police station.",pending,,
